ID,population_2017
"colorado,rio blanco",6394
"colorado,rio grande",11306
"colorado,routt",25346
"colorado,saguache",6643
"colorado,san juan",711
"colorado,san miguel",8047
"colorado,sedgwick",2334
"colorado,summit",31004
"colorado,teller",24638
"colorado,washington",4936
"colorado,weld",305274
"colorado,yuma",10015
"connecticut,fairfield",943457
"connecticut,hartford",892931
"connecticut,litchfield",181710
"connecticut,middlesex",162855
"connecticut,new haven",857794
"connecticut,new london",267826
"connecticut,tolland",150933
"connecticut,windham",116374
"delaware,kent",176445
"delaware,new castle",556419
"delaware,sussex",224214
"district of columbia,washington",695691
"florida,alachua",266820
"florida,baker",28230
"florida,bay",184046
"florida,bradford",27133
"florida,brevard",588265
"florida,broward",1934471
"florida,calhoun",14437
"florida,charlotte",181537
"florida,citrus",145512
"florida,clay",212177
"florida,collier",372345
"florida,columbia",69825
"florida,de soto",37252
"florida,dixie",16636
"florida,duval",937642
"florida,escambia",313258
"florida,flagler",109937
"florida,franklin",11752
"florida,gadsden",45972
"florida,gilchrist",17865
"florida,glades",13608
"florida,gulf",16122
"florida,hamilton",14389
"florida,hardee",27202
"florida,hendry",41144
"florida,hernando",186784
"florida,highlands",104060
"florida,hillsborough",1410115
"florida,holmes",19448
"florida,indian river",154314
"florida,jackson",48360
"florida,jefferson",14147
"florida,lafayette",8623
"florida,lake",345087
"florida,lee",739506
"florida,leon",291247
"florida,levy",40306
"florida,liberty",8242
"florida,madison",18465
"florida,manatee",385450
"florida,marion",353717
"florida,martin",159792
"florida,miami-dade",2744878
"florida,monroe",76636
"florida,nassau",82864
"florida,okaloosa",203684
"florida,okeechobee",41188
"florida,orange",1352933
"florida,osceola",352661
"florida,palm beach",1470338
"florida,pasco",525021
"florida,pinellas",969305
"florida,polk",685830
"florida,putnam",73385
"florida,santa rosa",243928
"florida,sarasota",313400
"florida,seminole",174069
"florida,st johns",419689
"florida,st lucie",462236
"florida,sumter",124933
"florida,suwannee",44136
"florida,taylor",21815
"florida,union",15469
"florida,volusia",538180
"florida,wakulla",32101
"florida,walton",68275
"florida,washington",24618
"georgia,appling",18438
