"ID","cons","X"
"arizona,maricopa",1.11836656270292,0
"california,alameda",0.117010147761307,1
"california,los angeles",20.0093107717048,2
"california,orange",4.69197282521663,3
"california,riverside",2.39971991447082,4
"california,sacramento",1.00600830766552,5
"california,san bernardino",1.45391826378686,6
"california,san diego",2.86251655557914,7
"california,santa clara",0.388000313853984,8
"florida,broward",0.193809619145733,9
"florida,hillsborough",1.27031437463325,10
"florida,miami-dade",3.38231012289681,11
"florida,orange",0.951949144898963,12
"florida,palm beach",5.84186929714338,13
"illinois,cook",50.1195297097841,14
"massachusetts,middlesex",0.191034520805157,15
"michigan,wayne",1.5872092580918,16
"nevada,churchill",1.58061531303561,17
"new york,bronx",6.69062411103728,18
"new york,kings",2.82504483436273,19
"new york,nassau",13.216540598731,20
"new york,new york",25.5491311625026,21
"new york,queens",0.980793478250944,22
"new york,suffolk",0.77190900746706,23
"pennsylvania,philadelphia",10.9078603648774,24
"texas,bexar",0.483745792987718,25
"texas,dallas",7.12921306329198,26
"texas,harris",4.36546800347045,27
"texas,tarrant",20.7659582409073,28
"washington,king",32.1482463189368,29
