3415942.892,948624.7417,278883.701,2558904.85,833717.707,1166628.802,386698.1306,696795.5624,2366945.174,777493.5495,778491.7487,1208707.903,1097642.753,286027.735,1849866.059,1084890.686,1633617.461,880741.2312,712146.2027,796121.4892
3339953.233,1056871.247,385721.1458,2471525.467,731404.5865,1072621.566,282715.9363,710987.8862,2262630.917,693913.6709,699522.6452,1161240.518,1048862.323,297226.377,1818243.136,1068759.278,1588024.947,877031.891,649142.1433,733927.3649
2956334.879,1557903.316,878343.0472,2043475.761,382762.0657,639579.4484,285427.8786,893257.2946,1766178.262,542087.7335,579542.8992,1138225.727,1033173.872,683253.4748,1676900.395,1061938.758,1390158.293,1083811.017,645418.3633,708146.6647
2262989.239,2344133.655,1659821.85,1302542.882,867365.9246,357152.3355,1095802.887,1414430.831,958008.1351,1136247.145,1183475.575,1658049.572,1583182.989,1495027.18,1535016.184,1305692.935,1212674.956,1799730.902,1313374.938,1338831.883
3060877.522,1945086.459,1308761.734,2096362.579,197673.6029,862038.4402,645130.0394,1430191.794,1597613.034,397065.3807,439131.4466,859659.3883,787496.4328,960177.9665,2090979.497,1568359.761,1779276.82,1063270.229,587812.506,584762.2178
2727573.547,1740414.172,1055854.941,1813324.838,497769.2105,410049.0468,514146.1139,924632.5286,1564032.417,720045.6997,762938.9541,1314966.597,1215803.557,908797.7847,1522197.064,990945.0013,1220262.313,1306456.053,851155.069,904959.3701
2077159.528,2461854.41,1780645.456,1118878.62,1049117.53,406083.2475,1249948.747,1470399.073,850708.1627,1317934.785,1365208.272,1844185.578,1768887.704,1648638.623,1434992.393,1304372.607,1118358.241,1977407.356,1492446.672,1520531.842
1766999.842,2418236.534,1808805.356,1024303.476,1543564.149,702472.3149,1525912.918,1248130.487,1341305.213,1784918.988,1828775.585,2374450.992,2278948.838,1870715.516,686305.8776,881762.1517,395469.3425,2355763.762,1916726.04,1971982.442
3286133.471,1263643.67,614176.2937,2384301.745,497152.9504,976754.5323,62137.13992,884894.3953,2101802.165,465829.8749,477652.1232,982977.8992,870369.9888,338054.5117,1888013.583,1182838.051,1629166.543,795864.4282,456832.4593,539557.9014
939190.2888,4353552.858,3690795.895,982662.3958,2958808.244,2307592.93,3199401.295,3230959.609,1271202.319,3222872.075,3269044.457,3663846.395,3613437.48,3597750.433,2434723.399,2888378.957,2311968.712,3895660.964,3408546.978,3422016.387
