"V1","V2","Var","letter_var"
"f_ij_8_10",14.2097077691,"ij","f"
"f_ij_8_11",0,"ij","f"
"f_ij_8_12",12.507474798,"ij","f"
"f_ij_8_13",0,"ij","f"
"f_ij_8_14",0,"ij","f"
"f_ij_8_15",0,"ij","f"
"f_ij_8_16",4.5803872722,"ij","f"
"f_ij_8_17",0,"ij","f"
"f_ij_8_18",0,"ij","f"
"f_ij_8_19",0,"ij","f"
"f_ij_8_2",0,"ij","f"
"f_ij_8_3",0,"ij","f"
"f_ij_8_4",0,"ij","f"
"f_ij_8_5",0,"ij","f"
"f_ij_8_6",0,"ij","f"
"f_ij_8_7",0,"ij","f"
"f_ij_8_8",0,"ij","f"
"f_ij_8_9",0,"ij","f"
"f_ij_9_0",0,"ij","f"
"f_ij_9_1",12.7372846828,"ij","f"
"f_ij_9_10",0,"ij","f"
"f_ij_9_11",0,"ij","f"
"f_ij_9_12",0,"ij","f"
"f_ij_9_13",0,"ij","f"
"f_ij_9_14",0,"ij","f"
"f_ij_9_15",0,"ij","f"
"f_ij_9_16",0,"ij","f"
"f_ij_9_17",5.56266047391,"ij","f"
"f_ij_9_18",0,"ij","f"
"f_ij_9_19",2.95889302935,"ij","f"
"f_ij_9_2",0,"ij","f"
"f_ij_9_3",0,"ij","f"
"f_ij_9_4",0,"ij","f"
"f_ij_9_5",0,"ij","f"
"f_ij_9_6",0,"ij","f"
"f_ij_9_7",0,"ij","f"
"f_ij_9_8",0,"ij","f"
"f_ij_9_9",0,"ij","f"
