"V1","V2","Var","letter_var"
"f_jk_14_21",1.349607507785,"jk","f"
"f_jk_14_22",0,"jk","f"
"f_jk_14_23",0,"jk","f"
"f_jk_14_24",10.9078603649,"jk","f"
"f_jk_14_25",0,"jk","f"
"f_jk_14_26",0,"jk","f"
"f_jk_14_27",0,"jk","f"
"f_jk_14_28",0,"jk","f"
"f_jk_14_29",0,"jk","f"
"f_jk_14_3",0,"jk","f"
"f_jk_14_4",0,"jk","f"
"f_jk_14_5",0,"jk","f"
"f_jk_14_6",0,"jk","f"
"f_jk_14_7",0,"jk","f"
"f_jk_14_8",0,"jk","f"
"f_jk_14_9",0,"jk","f"
"f_jk_15_0",0,"jk","f"
"f_jk_15_1",0,"jk","f"
"f_jk_15_10",0,"jk","f"
"f_jk_15_11",0,"jk","f"
"f_jk_15_12",0,"jk","f"
"f_jk_15_13",0,"jk","f"
"f_jk_15_14",0,"jk","f"
"f_jk_15_15",0,"jk","f"
"f_jk_15_16",0,"jk","f"
"f_jk_15_17",0,"jk","f"
"f_jk_15_18",0,"jk","f"
"f_jk_15_19",0,"jk","f"
"f_jk_15_2",0,"jk","f"
"f_jk_15_20",0,"jk","f"
"f_jk_15_21",0,"jk","f"
"f_jk_15_22",0,"jk","f"
"f_jk_15_23",0,"jk","f"
"f_jk_15_24",0,"jk","f"
"f_jk_15_25",0.483745792988,"jk","f"
"f_jk_15_26",0,"jk","f"
"f_jk_15_27",4.36546800347,"jk","f"
"f_jk_15_28",7.971306974842,"jk","f"
"f_jk_15_29",0,"jk","f"
"f_jk_15_3",0,"jk","f"
"f_jk_15_4",0,"jk","f"
"f_jk_15_5",0,"jk","f"
"f_jk_15_6",0,"jk","f"
"f_jk_15_7",0,"jk","f"
"f_jk_15_8",0,"jk","f"
"f_jk_15_9",0,"jk","f"
"f_jk_16_0",0,"jk","f"
"f_jk_16_1",0,"jk","f"
"f_jk_16_10",0,"jk","f"
"f_jk_16_11",0,"jk","f"
"f_jk_16_12",0,"jk","f"
"f_jk_16_13",0,"jk","f"
"f_jk_16_14",0,"jk","f"
"f_jk_16_15",0,"jk","f"
"f_jk_16_16",0,"jk","f"
"f_jk_16_17",0,"jk","f"
"f_jk_16_18",0,"jk","f"
"f_jk_16_19",2.82504483436,"jk","f"
"f_jk_16_2",0,"jk","f"
"f_jk_16_20",1.672009328972,"jk","f"
"f_jk_16_21",2.287430603087,"jk","f"
"f_jk_16_22",0.980793478251,"jk","f"
"f_jk_16_23",0,"jk","f"
"f_jk_16_24",0,"jk","f"
"f_jk_16_25",0,"jk","f"
"f_jk_16_26",0,"jk","f"
"f_jk_16_27",0,"jk","f"
"f_jk_16_28",0,"jk","f"
"f_jk_16_29",0,"jk","f"
"f_jk_16_3",0,"jk","f"
"f_jk_16_4",0,"jk","f"
"f_jk_16_5",0,"jk","f"
"f_jk_16_6",0,"jk","f"
"f_jk_16_7",0,"jk","f"
"f_jk_16_8",0,"jk","f"
"f_jk_16_9",0,"jk","f"
"f_jk_17_0",0,"jk","f"
"f_jk_17_1",0,"jk","f"
"f_jk_17_10",0,"jk","f"
"f_jk_17_11",0,"jk","f"
"f_jk_17_12",0,"jk","f"
"f_jk_17_13",0,"jk","f"
"f_jk_17_14",0,"jk","f"
"f_jk_17_15",0,"jk","f"
"f_jk_17_16",0,"jk","f"
